festival_kr,festival,place,place_en,begin_date,end_date,contents,contents_en,organizer,organizer_en,host,host_en,sponsor,sponsor_en,phone,website,additional,address,address_old_style,latitude,longitude,updated,data_organization_code,data_organization,data_organization_en,address_en,address_old_en
2023 동촌금호강예술제 Art Blossom,2023 Dongchon Geumho River Art Festival Art Blossom,아양아트센터 + 지저동 금호강 둔치,Ayang Art Center + Jijeo-dong Geumho River banks,2023-03-28,2023-04-02,버스킹공연+노래하는 대한민국,Busking performance + singing Korea,대구광역시 동구청,Daegu Metropolitan City Dong-gu Office,대구광역시 동구청,Daegu Metropolitan City Dong-gu Office,대구광역시 동구청,Daegu Metropolitan City Dong-gu Office,053-662-4073,,,,대구광역시 동구 불로동 1058,35.89472234,128.6332203,2024-01-03,3420000,경기도 안양시,"Anyang-si, Gyeonggi-do",#VALUE!,"1058 Bullo-dong, Dong-gu, Daegu"
팔공산 벚꽃축제,Palgongsan Cherry Blossom Festival,팔공산 동화지구 분수대광장,Palgongsan Donghwa District Fountain Square,2023-04-06,2023-04-09,무대공연+봄나물 비빔밥 축제+벚꽃가요제,Stage Performance + Spring Vegetable Bibimbap Festival + Cherry Blossom Song Festival,팔공산 동화지구 상가번영회,Palgongsan Dongwha District Commercial Prosperity Association,팔공산 동화지구 상가번영회,Palgongsan Dongwha District Commercial Prosperity Association,대구광역시청+대구광역시 동구청,Daegu Metropolitan City Hall + Daegu Dong-gu Office,053-981-6624,,,,대구광역시 동구 용수동 27-5,35.98972752,128.696466,2024-01-03,3420000,경기도 안양시,"Anyang-si, Gyeonggi-do",#VALUE!,"27-5 Yongsu-dong, Dong-gu, Daegu Metropolitan City"
선덕여왕 숭모재,Queen Seondeok’s Sungmojae,부인사 숭모전,Buinsa Shrine Shrine Exhibition,2023-05-04,2023-05-04,숭모재 의식 및 국악공연+전시 등 문화행사,Cultural events such as Sungmojae ceremony and Korean traditional music performances and exhibitions,대한불교조계종 부인사,Lady of the Jogye Order of Korean Buddhism,대한불교조계종 부인사,Lady of the Jogye Order of Korean Buddhism,대구광역시 동구청,Daegu Metropolitan City Dong-gu Office,,,,대구광역시 동구 팔공산로 967-28,,35.99490611,128.6739767,2024-01-03,3420000,경기도 안양시,"Anyang-si, Gyeonggi-do","967-28 Palgongsan-ro, Dong-gu, Daegu",#VALUE!
안심창조밸리 연꽃마을 축제,Ansim Creation Valley Lotus Village Festival,안심창조밸리 일원,Ansim Creation Valley area,2023-08-12,2023-08-15,연꽃길 힐링걷기대회+관련 문화행사,Lotus Road Healing Walking Competition + Related Cultural Events,안심창조밸리 주민협의체,Ansim Creation Valley Residents' Council,안심창조밸리 주민협의체,Ansim Creation Valley Residents' Council,,#VALUE!,053-964-2901,,,,대구광역시 동구 괴전동 401-2,35.869549,128.735308,2024-01-03,3420000,경기도 안양시,"Anyang-si, Gyeonggi-do",#VALUE!,"401-2, Gojeon-dong, Dong-gu, Daegu"
팔공산 왕건축제,Palgongsan Wang Architecture Festival,동화천 생태하천 둔치,Donghwa Stream Ecological River Basin,2023-09-16,2023-09-16,왕건관련 체험프로그램+동화천 걷기대회행사+무대행사,Wang Geon-related experience program + Donghwacheon walking competition event + stage event,팔공산 왕건축제추진위원회,Palgongsan Wang Architecture Festival Promotion Committee,공산동 주민자치위원회,Gongsan-dong Resident Autonomy Committee,,#VALUE!,053-662-3981,,,,대구광역시 동구 지묘동 1220-19,35.942676,128.6426741,2024-01-03,3420000,경기도 안양시,"Anyang-si, Gyeonggi-do",#VALUE!,"1220-19 Jimyo-dong, Dong-gu, Daegu"
최계란 선생 대구아리랑제,Daegu Arirang Festival by Choi Gye-ran,불로봉무동 일원,Bulobongmu-dong area,2023-10-01,2023-10-01,공연+먹거리 부스 운영,Performance + food booth operation,불로봉무동 주민자치위원회,Bulobongmu-dong Resident Autonomy Committee,불로봉무동 주민자치위원회,Bulobongmu-dong Resident Autonomy Committee,대구광역시 동구청,Daegu Metropolitan City Dong-gu Office,053-662-2172,,,대구광역시 동구 팔공로50길 66,,35.92195919,128.6501799,2024-01-03,3420000,대구광역시 동구,"Dong-gu, Daegu Metropolitan City","66, Palgong-ro 50-gil, Dong-gu, Daegu",#VALUE!
용암산성 옥샘문화재,Yongamsanseong Oksaem Cultural Heritage,불로천 다목적광장,Bulocheon Multipurpose Plaza,2023-10-10,2023-10-10,옥천제+사생대회+끼페스티벌+문화행사,Okcheon Festival + Drawing Contest + Talent Festival + Cultural Event,용암산성옥샘문화제추진위원회,Yongamsanseongoksaem Cultural Festival Promotion Committee,도평동주민자치위원회,Dopyeong-dong Resident Autonomy Committee,,#VALUE!,053-662-3801,,,대구광역시 동구 팔공로24길 171,,35.9099747,128.6501287,2024-01-03,3420000,대구광역시 동구,"Dong-gu, Daegu Metropolitan City","171, Palgong-ro 24-gil, Dong-gu, Daegu",#VALUE!
구민화합 어울림한마당,Community Harmony Eoullim Festival,율하체육공원,Yulha Sports Park,2023-10-15,2023-10-15,무대공연+체육행사,Stage performance + sports event,대구광역시 동구청,Daegu Metropolitan City Dong-gu Office,대구광역시 동구청,Daegu Metropolitan City Dong-gu Office,,#VALUE!,053-662-4073,,,대구광역시 동구 금호강변로 278,,35.85992537,128.6928379,2024-01-03,3420000,대구광역시 동구,"Dong-gu, Daegu Metropolitan City","278 Geumhogangbyeon-ro, Dong-gu, Daegu",#VALUE!
거제맹종대나무축제,Geoje Maengjong Bamboo Festival,거제맹종죽테마파크,Geoje Maengjongjuk Theme Park,2024-04-01,2024-04-30,죽순 껍질벗기기 체험+죽순 수확 체험+죽순요리 시식+대나무통 소원쓰기 행사 등,"Bamboo shoot peeling experience + Bamboo shoot harvesting experience + Bamboo shoot cooking tasting + Bamboo barrel wish writing event, etc.",거제맹종죽영농조합법인,Geoje Maengjong Juk Agricultural Association Corporation,거제시농업기술센터농업지원과,Geoje City Agricultural Technology Center Agricultural Support Department,,#VALUE!,055-639-6356,,,경상남도 거제시 하청면 거제북로 700,경상남도 거제시 하청면 실전리 산 84-6,34.96772842,128.6505119,2024-01-03,5370000,대구광역시 동구,"Dong-gu, Daegu Metropolitan City","700 Geojebuk-ro, Hacheong-myeon, Geoje-si, Gyeongsangnam-do","84-6, Siljeon-ri, Hacheong-myeon, Geoje-si, Gyeongsangnam-do"
양지암축제,Yangjiam Festival,능포수변공원,Neungpo Waterside Park,2024-04-01,2024-04-30,식전행사+기념식+식후행사+벼룩시장+프리마켓+보물찾기+푸드트럭 등,"Pre-meal event + commemorative ceremony + post-meal event + flea market + flea market + treasure hunt + food truck, etc.",거제시 능포동주민자치회,Geoje-si Neungpo-dong Residents' Association,거제시 능포동주민자치회,Geoje-si Neungpo-dong Residents' Association,,#VALUE!,055-639-6793,,,경상남도 거제시 능포로15길 32,경상남도 거제시 능포동 564-25,34.88646521,128.735617,2024-01-03,5370000,대구광역시 동구,"Dong-gu, Daegu Metropolitan City","32, Neungpo-ro 15-gil, Geoje-si, Gyeongsangnam-do","564-25 Neungpo-dong, Geoje-si, Gyeongsangnam-do"
거제 옥포대첩 축제,Geoje Okpo Battle Festival,옥포대첩기념공원+옥포수변공원 일원,Okpo Battle Memorial Park + Okpo Waterside Park area,2024-06-01,2024-06-30,제례봉행+승전행차+가장행렬+옥포해전 재현 등,"Ritual performance + Victory procession + Masquerade procession + Reenactment of the Battle of Okpo, etc.",거제시문화예술재단,Geoje City Culture and Arts Foundation,거제시문화예술재단,Geoje City Culture and Arts Foundation,,#VALUE!,055-639-3393,,,경상남도 거제시 팔랑포2길 87+경상남도 거제시 옥포로2길 14,경상남도 거제시 옥포동 산 1-1,34.90219827,128.7140595,2024-01-03,5370000,대구광역시 동구,"Dong-gu, Daegu Metropolitan City","87 Pallangpo 2-gil, Geoje-si, Gyeongsangnam-do + 14 Okpo-ro 2-gil, Geoje-si, Gyeongsangnam-do","San 1-1, Okpo-dong, Geoje-si, Gyeongsangnam-do"
남부면 수국축제,Nambu-myeon Hydrangea Festival,매물도 여객선터미널 및 남부면 저구항 일원,Maemuldo Ferry Terminal and Nambu-myeon Jeogu Port area,2024-06-01,2024-06-30,식전행사+화합행사+수국포토존+목재만들기 체험 등,"Pre-ceremony event + unity event + hydrangea photo zone + wood making experience, etc.",남부면 발전 협의회,Nambu-myeon Development Council,남부면 발전 협의회,Nambu-myeon Development Council,,#VALUE!,055-639-6532,,,경상남도 거제시 남부면 남부해안로 30,경상남도 거제시 남부면 저구리 70,34.73224984,128.6101227,2024-01-03,5370000,대구광역시 동구,"Dong-gu, Daegu Metropolitan City","30 Nambuhaean-ro, Nambu-myeon, Geoje-si, Gyeongsangnam-do","70 Jeoguri, Nambu-myeon, Geoje-si, Gyeongsangnam-do"
거제 바다로 세계로,To the Geoje sea and the world,지세포항수변공원 등,"Jisepo Port Waterside Park, etc.",2024-07-01,2024-07-31,해양스포츠대회+체험프로그램+블루썸머콘서트 등,"Marine sports competition + experience program + Blue Summer Concert, etc.",㈜엠비씨경남,"MBC Gyeongnam Co., Ltd.",거제시행관광개발공사,Geoje Tourism Development Corporation,,#VALUE!,055-639-4163,,,경상남도 거제시 일운면 거제대로 2056,경상남도 거제시 일운면 구조라리 502,34.80795032,128.6922045,2024-01-03,5370000,대구광역시 동구,"Dong-gu, Daegu Metropolitan City","2056 Geoje-daero, Irun-myeon, Geoje-si, Gyeongsangnam-do","502 Gujorari-ri, Irun-myeon, Geoje-si, Gyeongsangnam-do"
거제맥주축제,Geoje Beer Festival,장승포 수변공원,Jangseungpo Waterside Park,2024-08-01,2024-08-31,맥주 무제한 제공+무대공연+먹거리 체험 부스 등,"Unlimited beer + stage performance + food experience booth, etc.",KNN,KNN,거제맥주축제추진위원회,Geoje Beer Festival Promotion Committee,,#VALUE!,055-639-3365,,,경상남도 거제시 장승로 146-12,경상남도 거제시 장승포동 685-3,34.86687999,128.7260471,2024-01-03,5370000,대구광역시 동구,"Dong-gu, Daegu Metropolitan City","146-12 Jangseung-ro, Geoje-si, Gyeongsangnam-do","685-3, Jangseungpo-dong, Geoje-si, Gyeongsangnam-do"
거제둔덕포도축제,Geoje Dundeok Grape Festival,둔덕가족생활체육공원,Dundeok Family Life Sports Park,2024-09-01,2024-09-30,"포도판매+포도 경매, 체험+공연 등","Grape sale + grape auction, experience + performance, etc.",청마포도축제추진위원회,Cheongma Grape Festival Promotion Committee,거제시농업기술센터 농업관광과,Geoje City Agricultural Technology Center Agricultural Tourism Department,,#VALUE!,055-639-6443,,,경상남도 거제시 둔덕면 청마로 159,경상남도 거제시 둔덕면 거림리 363-2,34.85232978,128.510722,2024-01-03,5370000,대구광역시 동구,"Dong-gu, Daegu Metropolitan City","159 Cheongma-ro, Dundeok-myeon, Geoje-si, Gyeongsangnam-do","363-2 Georim-ri, Dundeok-myeon, Geoje-si, Gyeongsangnam-do"
거제 섬꽃축제,Geoje Island Flower Festival,거제시 농업개발원,Geoje City Agricultural Development Institute,2024-10-26,2024-11-03,가을꽃 전시+농업기술 홍보+문화예술 전시 등,"Autumn flower exhibition + agricultural technology promotion + culture and art exhibition, etc.",거제시농업기술센터 농업관광과,Geoje City Agricultural Technology Center Agricultural Tourism Department,거제시농업기술센터 농업관광과,Geoje City Agricultural Technology Center Agricultural Tourism Department,,#VALUE!,055-639-6443,,,경상남도 거제시 거제면 거제남서로 3577,경상남도 거제시 거제면 서정리 978-14,34.85646488,128.5791279,2024-01-03,5370000,경상남도 거제시,"Geoje-si, Gyeongsangnam-do","3577 Geojenamseo-ro, Geoje-myeon, Geoje-si, Gyeongsangnam-do","978-14, Seojeong-ri, Geoje-myeon, Geoje-si, Gyeongsangnam-do"
2014 안양 아줌마축제,2014 Anyang Aunty Festival,평촌중앙공원,Pyeongchon Central Park,2014-08-30,2014-08-31,아줌마 축제 개막식 및 폐막식+ 주민자치센터 동호회 공연  등,"Ajumma Festival opening and closing ceremonies + community center club performances, etc.",경인일보,Gyeongin Ilbo,(재)안양문화예술재단,Anyang Culture and Arts Foundation,경기도 안양시,"Anyang-si, Gyeonggi-do",031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.390137,126.9613287,2024-01-03,3830000,경상남도 거제시,"Geoje-si, Gyeongsangnam-do","149 Gwanpyeong-ro, Dongan-gu, Anyang-si, Gyeonggi-do (Pyeongchon-dong)","895 Pyeongchon-dong, Dongan-gu, Anyang-si, Gyeonggi-do"
2015 안양 시민축제,2015 Anyang Citizen Festival,평촌중앙공원+삼덕공원,Pyeongchon Central Park + Samdeok Park,2015-10-02,2015-10-04,시민공연마당+ 전시체험부스+ 특별기회전시+ 개폐막 축하공연+ 방송국 공개방송 등,"Citizen performance hall + Exhibition experience booth + Special opportunity exhibition + Opening and closing celebration performance + Broadcasting station public broadcast, etc.",(재)안양문화예술재단,Anyang Culture and Arts Foundation,경기도 안양시+안양축제추진위원회,"Anyang-si, Gyeonggi-do + Anyang Festival Promotion Committee",,#VALUE!,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.390137,126.9613287,2024-01-03,3830000,경상남도 거제시,"Geoje-si, Gyeongsangnam-do","149 Gwanpyeong-ro, Dongan-gu, Anyang-si, Gyeonggi-do (Pyeongchon-dong)","895 Pyeongchon-dong, Dongan-gu, Anyang-si, Gyeonggi-do"
2016 안양 시민축제,2016 Anyang Citizen Festival,평촌중앙공원+삼덕공원+범계로데오,Pyeongchon Central Park + Samdeok Park + Beomgye Rodeo,2016-09-24,2016-09-25,시민공연마당+ 전시체험부스+ 특별기회전시+ 개폐막 축하공연+ 방송국 공개방송 등,"Citizen performance hall + Exhibition experience booth + Special opportunity exhibition + Opening and closing celebration performance + Broadcasting station public broadcast, etc.",(재)안양문화예술재단,Anyang Culture and Arts Foundation,경기도 안양시+안양축제추진위원회,"Anyang-si, Gyeonggi-do + Anyang Festival Promotion Committee",,#VALUE!,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.390137,126.9613287,2024-01-03,3830000,경상남도 거제시,"Geoje-si, Gyeongsangnam-do","149 Gwanpyeong-ro, Dongan-gu, Anyang-si, Gyeonggi-do (Pyeongchon-dong)","895 Pyeongchon-dong, Dongan-gu, Anyang-si, Gyeonggi-do"
2016 안양 아줌마축제,2016 Anyang Aunty Festival,평촌중앙공원,Pyeongchon Central Park,2016-05-28,2016-05-29,아줌마 축제 기념공연+ 여성동호회공연+ 주부가요제+ 홍보체험부스+ 김치왕선발대회 등,"Ajumma Festival commemorative performance + Women’s club performance + Housewife song festival + Promotional experience booth + Kimchi king selection contest, etc.",경인일보,Gyeongin Ilbo,(재)안양문화예술재단,Anyang Culture and Arts Foundation,경기도 안양시+ 안양시여성단체협의회,"Anyang-si, Gyeonggi-do + Anyang City Women’s Group Council",031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.390137,126.9613287,2024-01-03,3830000,경상남도 거제시,"Geoje-si, Gyeongsangnam-do","149 Gwanpyeong-ro, Dongan-gu, Anyang-si, Gyeonggi-do (Pyeongchon-dong)","895 Pyeongchon-dong, Dongan-gu, Anyang-si, Gyeonggi-do"
2016 제5회 안양공공예술프로젝트,2016 5th Anyang Public Art Project,안양예술공원,Anyang Art Park,2016-10-15,2016-12-15,개막식+ 체험부스운영+ 공공예술작품 전시 및 공연,Opening ceremony + Experience booth operation + Public art exhibition and performance,(재)안양문화예술재단,Anyang Culture and Arts Foundation,경기도 안양시,"Anyang-si, Gyeonggi-do",,#VALUE!,031-687-0916,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 만안구 예술공원로 180(안양동),경기도 안양시 만안구 안양동 1351,37.419406,126.925606,2024-01-03,3830000,경상남도 거제시,"Geoje-si, Gyeongsangnam-do","180 Art Park-ro, Manan-gu, Anyang-si, Gyeonggi-do (Anyang-dong)","1351 Anyang-dong, Manan-gu, Anyang-si, Gyeonggi-do"
2014 안양시민축제,2014 Anyang Citizen Festival,평촌중앙공원+삼덕공원,Pyeongchon Central Park + Samdeok Park,2014-09-26,2014-09-28,시민공연마당+ 전시체험부스+ 특별기회전시+ 개폐막 축하공연+ 방송국 공개방송+ 거리공연 등,"Citizen Performance Hall + Exhibition Experience Booth + Special Opportunity Exhibition + Opening and Closing Celebration Performance + Public Broadcasting Station + Street Performance, etc.",(재)안양문화예술재단,Anyang Culture and Arts Foundation,경기도 안양시+안양축제추진위원회,"Anyang-si, Gyeonggi-do + Anyang Festival Promotion Committee",,#VALUE!,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.390137,126.9613287,2024-01-03,3830000,경상남도 거제시,"Geoje-si, Gyeongsangnam-do","149 Gwanpyeong-ro, Dongan-gu, Anyang-si, Gyeonggi-do (Pyeongchon-dong)","895 Pyeongchon-dong, Dongan-gu, Anyang-si, Gyeonggi-do"
2017 안양충훈벚꽃축제,2017 Anyang Chunghun Cherry Blossom Festival,안양충훈2교일대,Anyang Chunghun 2nd School University,2017-04-07,2017-04-09,축하공연+ 안양꽃길걷기대회+ 안양꽃길그리기+ 어린이벼룩시장+ 거리공연+ 체험부스 등,"Celebratory performance + Anyang Flower Road Walking Contest + Anyang Flower Road Drawing + Children's Flea Market + Street Performance + Experience Booth, etc.",(재)안양문화예술재단,Anyang Culture and Arts Foundation,경기도 안양시+안양충훈벚꽃축제추진위원회,"Anyang-si, Gyeonggi-do + Anyang Chunghun Cherry Blossom Festival Promotion Committee",티브로드abc방송,T-broad abc broadcast,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 만안구 석수로 159,경기도 안양시 만안구 석수동 797,37.404615,126.896157,2024-01-03,3830000,경상남도 거제시,"Geoje-si, Gyeongsangnam-do","159 Seoksu-ro, Manan-gu, Anyang-si, Gyeonggi-do","797 Seoksu-dong, Manan-gu, Anyang-si, Gyeonggi-do"
2017 안양 아줌마축제,2017 Anyang Aunty Festival,평촌중앙공원,Pyeongchon Central Park,2017-05-27,2017-05-28,아줌마 축제 기념공연+ 여성동아리공연+ 미니올림픽+ 김장담그기대회+ 홍보체험부스 등,"Ajumma Festival commemorative performance + Women’s club performance + Mini Olympics + Kimchi making contest + Promotional experience booth, etc.",경인일보,Gyeongin Ilbo,(재)안양문화예술재단,Anyang Culture and Arts Foundation,경기도 안양시+ 안양시여성단체협의회,"Anyang-si, Gyeonggi-do + Anyang City Women’s Group Council",031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.390137,126.9613287,2024-01-03,3830000,경기도 안양시,"Anyang-si, Gyeonggi-do","149 Gwanpyeong-ro, Dongan-gu, Anyang-si, Gyeonggi-do (Pyeongchon-dong)","895 Pyeongchon-dong, Dongan-gu, Anyang-si, Gyeonggi-do"
2017 광복기념음악회,2017 Liberation Commemorative Concert,안양아트센터 관악홀,Anyang Art Center Gwanak Hall,2017-08-15,2017-08-15,안양필하모닉 오케스트라연주+ 안양시립합창단 공연 등 (우천으로 안양아트센터 관악홀 실내 진행),"Anyang Philharmonic Orchestra performance + Anyang City Choir performance, etc. (Held indoors at Anyang Arts Center Gwanak Hall due to rain)",(재)안양문화예술재단,Anyang Culture and Arts Foundation,(재)안양문화예술재단,Anyang Culture and Arts Foundation,경기도 안양시+ 티브로드abc방송,"Anyang-si, Gyeonggi-do + TV Broadcast ABC",031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 만안구 문예로 36번길 16,경기도 안양시 만안구 안양동 549,37.384588,126.931365,2024-01-03,3830000,경기도 안양시,"Anyang-si, Gyeonggi-do","16 Munye-ro 36beon-gil, Manan-gu, Anyang-si, Gyeonggi-do","549 Anyang-dong, Manan-gu, Anyang-si, Gyeonggi-do"
2017 안양 시민축제,2017 Anyang Citizen Festival,평촌중앙공원+병목안시민공원+범계로데오,Pyeongchon Central Park + Byeongmokan Citizens Park + Beomgye Rodeo,2017-09-15,2017-09-17,시민공연마당+ 전시체험부스+ 개폐막 축하공연+ 방송국 공개방송+ 안양시민의날 기념식+ 안양시민가요제 등,"Citizen Performance Hall + Exhibition Experience Booth + Opening and Closing Celebration Performance + Broadcasting Broadcasting Station + Anyang Citizen’s Day Ceremony + Anyang Citizen Song Festival, etc.",(재)안양문화예술재단,Anyang Culture and Arts Foundation,경기도 안양시+안양축제추진위원회,"Anyang-si, Gyeonggi-do + Anyang Festival Promotion Committee",,#VALUE!,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.390137,126.9613287,2024-01-03,3830000,경기도 안양시,"Anyang-si, Gyeonggi-do","149 Gwanpyeong-ro, Dongan-gu, Anyang-si, Gyeonggi-do (Pyeongchon-dong)","895 Pyeongchon-dong, Dongan-gu, Anyang-si, Gyeonggi-do"
2018 안양충훈벚꽃축제,2018 Anyang Chunghun Cherry Blossom Festival,안양충훈2교일대,Anyang Chunghun 2nd School University,2018-04-07,2018-04-15,축하공연+ 안양꽃길걷기대회+ 안양꽃길그리기+ 어린이벼룩시장+ 거리공연+ 체험부스 등,"Celebratory performance + Anyang Flower Road Walking Contest + Anyang Flower Road Drawing + Children's Flea Market + Street Performance + Experience Booth, etc.",(재)안양문화예술재단,Anyang Culture and Arts Foundation,경기도 안양시+안양충훈벚꽃축제추진위원회,"Anyang-si, Gyeonggi-do + Anyang Chunghun Cherry Blossom Festival Promotion Committee",티브로드abc방송,T-broad abc broadcast,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 만안구 석수로 159,경기도 안양시 만안구 석수동 797,37.404615,126.896157,2024-01-03,3830000,경기도 안양시,"Anyang-si, Gyeonggi-do","159 Seoksu-ro, Manan-gu, Anyang-si, Gyeonggi-do","797 Seoksu-dong, Manan-gu, Anyang-si, Gyeonggi-do"
2018 안양여성축제,2018 Anyang Women’s Festival,평촌중앙공원,Pyeongchon Central Park,2018-05-12,2018-05-13,기념공연+ 여성동아리공연+ 미니올림픽+ 김장담그기대회+ 홍보체험부스 등,"Commemorative performance + Women’s club performance + Mini Olympics + Kimchi making contest + Promotional experience booth, etc.",경인일보,Gyeongin Ilbo,(재)안양문화예술재단,Anyang Culture and Arts Foundation,경기도 안양시+ 안양시여성단체협의회,"Anyang-si, Gyeonggi-do + Anyang City Women’s Group Council",031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.390137,126.9613287,2024-01-03,3830000,경기도 안양시,"Anyang-si, Gyeonggi-do","149 Gwanpyeong-ro, Dongan-gu, Anyang-si, Gyeonggi-do (Pyeongchon-dong)","895 Pyeongchon-dong, Dongan-gu, Anyang-si, Gyeonggi-do"
2018 광복기념음악회,2018 Liberation Commemorative Concert,병목안시민공원,Byeongmokan Citizen’s Park,2018-08-15,2018-08-15,뮤지컬 그룹 플래티넘+ 안양시립합창단 공연 등,"Musical group Platinum + Anyang City Choir performance, etc.",(재)안양문화예술재단,Anyang Culture and Arts Foundation,경기도 안양시+안양축제추진위원회,"Anyang-si, Gyeonggi-do + Anyang Festival Promotion Committee",경기도 안양시+ 티브로드abc방송,"Anyang-si, Gyeonggi-do + TV Broadcast ABC",031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 만안구 병목안로 215,경기도 안양시 만안구 안양동 산 82-2,37.385289,126.907675,2024-01-03,3830000,경기도 안양시,"Anyang-si, Gyeonggi-do","215 Byeongmokan-ro, Manan-gu, Anyang-si, Gyeonggi-do","San 82-2, Anyang-dong, Manan-gu, Anyang-si, Gyeonggi-do"
2018 안양 시민축제,2018 Anyang Citizen Festival,평촌중앙공원+병목안시민공원+범계로데오,Pyeongchon Central Park + Byeongmokan Citizens Park + Beomgye Rodeo,2018-09-14,2018-09-16,시민공연마당+ 전시체험부스+ 개폐막 축하공연+ 방송국 공개방송+ 안양시민의날 기념식+ 안양시민가요제 등,"Citizen Performance Hall + Exhibition Experience Booth + Opening and Closing Celebration Performance + Broadcasting Broadcasting Station + Anyang Citizen’s Day Ceremony + Anyang Citizen Song Festival, etc.",(재)안양문화예술재단,Anyang Culture and Arts Foundation,경기도 안양시+안양축제추진위원회,"Anyang-si, Gyeonggi-do + Anyang Festival Promotion Committee",,#VALUE!,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.390137,126.9613287,2024-01-03,3830000,경기도 안양시,"Anyang-si, Gyeonggi-do","149 Gwanpyeong-ro, Dongan-gu, Anyang-si, Gyeonggi-do (Pyeongchon-dong)","895 Pyeongchon-dong, Dongan-gu, Anyang-si, Gyeonggi-do"
2019 안양충훈벚꽃축제,2019 Anyang Chunghun Cherry Blossom Festival,안양충훈2교일대,Anyang Chunghun 2nd School University,2019-04-05,2019-04-07,축하공연+ 안양꽃길걷기대회+ 안양꽃길그리기+ 어린이벼룩시장+ 거리공연+ 체험부스 등,"Celebratory performance + Anyang Flower Road Walking Contest + Anyang Flower Road Drawing + Children's Flea Market + Street Performance + Experience Booth, etc.",(재)안양문화예술재단,Anyang Culture and Arts Foundation,경기도 안양시+안양충훈벚꽃축제추진위원회,"Anyang-si, Gyeonggi-do + Anyang Chunghun Cherry Blossom Festival Promotion Committee",티브로드abc방송,T-broad abc broadcast,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 만안구 석수로 159,경기도 안양시 만안구 석수동 797,37.404615,126.896157,2024-01-03,3830000,경기도 안양시,"Anyang-si, Gyeonggi-do","159 Seoksu-ro, Manan-gu, Anyang-si, Gyeonggi-do","797 Seoksu-dong, Manan-gu, Anyang-si, Gyeonggi-do"
2019 안양여성축제,2019 Anyang Women’s Festival,평촌중앙공원,Pyeongchon Central Park,2019-05-18,2019-05-19,기념공연+ 여성동아리공연+ 미니올림픽+ 김장담그기대회+ 홍보체험부스 등,"Commemorative performance + Women’s club performance + Mini Olympics + Kimchi making contest + Promotional experience booth, etc.",경인일보,Gyeongin Ilbo,(재)안양문화예술재단,Anyang Culture and Arts Foundation,경기도 안양시+ 안양시여성단체협의회,"Anyang-si, Gyeonggi-do + Anyang City Women’s Group Council",031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.390137,126.9613287,2024-01-03,3830000,경기도 안양시,"Anyang-si, Gyeonggi-do","149 Gwanpyeong-ro, Dongan-gu, Anyang-si, Gyeonggi-do (Pyeongchon-dong)","895 Pyeongchon-dong, Dongan-gu, Anyang-si, Gyeonggi-do"
